Title,Summary,Catchy Titles
Better CARE for Animals Act of 2023," Better Collaboration, Accountability, and Regulatory Enforcement for Animals Act of 2023 or the Better CARE for Animals Act of 2023 This bill modifies enforcement provisions under the Animal Welfare Act, including by allowing the Department of Justice (DOJ) to bring civil actions against violators of the act for appropriate relief, such as removing animals, revoking violators' licenses, or issuing civil penalties. DOJ must use the penalties to pay for the temporary care for animals pending the disposition of civil or criminal proceedings that allege violations of the act with respect to such animals.",Civil Suits Against Animal Abusers
"To provide for a limitation on availability of funds for Independent Agencies, United States Postal Service, Payment to the Postal Service Fund for fiscal year 2024.", This bill limits FY2024 funding for the U.S. Postal Service's Postal Service Fund.,Budget Cuts for certain gov agencies
Range Access Act," Range Access Act This bill provides for the creation of new target shooting ranges on public land. Specifically, the bill directs the Department of Agriculture and the Department of the Interior to publish a list that identifies whether each National Forest and each Bureau of Land Management district has a target shooting range that meets specified requirements. The departments must identify at least one suitable location for a range in each forest or district where (1) there is not currently a range that meets requirements, and (2) establishing a range is not prevented by law or a land use plan. In at least one suitable location in each forest or district with a suitable location, the departments shall  <ul> <li>subject to the availability of appropriations, construct a range or modify an existing range; or</li> <li>enter into an agreement with an entity to establish or maintain a range.</li> </ul> A range established under this bill may not require a user to pay a fee to use the range. ",Shooting Ranges on public land?
Transparency in CFPB Cost-Benefit Analysis Act," Transparency in CFPB Cost-Benefit Analysis Act  This bill sets forth information required to be included in a rulemaking made by the Consumer Financial Protection Bureau (CFPB). Specifically, the CFPB must publish a justification of the proposed rulemaking; a quantitative and qualitative assessment of all anticipated direct and indirect costs and benefits; alternatives to the proposed rulemaking; impacts on small businesses; and any assumptions, data, or studies used in preparing this information. ",More transparency for the budget? 
CLAIM Act, Clarifying Law Around Insurance of Marijuana Act or the CLAIM Act  This bill generally provides a safe harbor from penalties or other adverse agency action for insurance companies that provide services to cannabis-related legitimate businesses in jurisdictions where such activity is legal.  The Government Accountability Office must report on barriers to marketplace entry for minority-owned and women-owned cannabis-related businesses.,Insurance for cannabis stores!
To provide for the extension of taxes funding the Airport and Airway Trust Fund and to require the designation of certain airports as ports of entry.," This bill extends certain excise taxes related to air travel. It also requires the designation of certain airports as ports of entry. First, the bill extends through September 30, 2028, the authority for the Federal Aviation and Administration to collect various taxes and fees to fund the Airport and Airway Trust Fund, including taxes on aviation fuel and airline tickets.  Second, the bill requires the President to designate certain primary airports near the border as ports of entry and terminate the user fee requirement for customs services at these airports.",More taxes to fund airlines and airports?
"Expressing support for the designation of August 3, 2023, as ""Tony Bennett Day"".", This resolution supports the designation of Tony Bennett Day in honor of his contributions to the arts and to society.,Tony Bennett Day!
Humane Cosmetics Act of 2023," Humane Cosmetics Act of 2023 This bill generally prohibits animal testing in the evaluation of cosmetic products, and it prohibits the sale or transport of cosmetics developed using animal testing, subject to civil penalties. These prohibitions begin one year after enactment. The bill specifies exceptions to these prohibitions, including if such animal testing (1) is conducted outside the United States to comply with a foreign regulatory authority; (2) is pursuant to a specified finding that there are no nonanimal alternatives to test the safety of a potentially dangerous cosmetic product or ingredient; (3) is of a product or ingredient for a drug or device subject to regulation by the Food and Drug Administration (FDA); or (4) is required for a noncosmetic purpose pursuant to a state, federal, or foreign regulatory authority. Further, no animal-testing evidence may be used to establish the safety of a cosmetic product or ingredient that is regulated by the FDA after the effective date of this bill, subject to limited exceptions.",Animal testing for cosmetic products
Mining Regulatory Clarity Act of 2023," Mining Regulatory Clarity Act of 2023 This bill sets forth a process to allow mine operations to use, occupy, and conduct operations (e.g., construction of roads and other mining infrastructure activity) on public land regardless of whether a mineral deposit has been discovered on the land.",Mining activity on public land without proof of minerals?
Border Patrol Enhancement Act," Border Patrol Enhancement Act This bill addresses various issues related to U.S. Border Patrol staffing.  The bill establishes for the U.S. Border Patrol an authorized personnel level of 20,500 agents, which may be adjusted by the Department of Homeland Security using a validated personnel requirements determination model required by this bill. Specifically, the U.S. Border Patrol must complete a personnel requirements determination model and contract with a research entity to analyze the validity of the model. The bill also provides for higher minimum pay rates for agents. Furthermore, the U.S. Border Patrol must require agents, employees, and certain contract employees to participate in continuing education on various topics, including (1) the nonlethal use of force policies and de-escalation strategies; (2) identifying and responding to vulnerable populations, such as children and victims of human trafficking; and (3) relevant cultural, societal, racial, and religious training. ",More funding to protect our borders?
Federal Data Center Enhancement Act of 2023," Federal Data Center Enhancement Act of 2023 This bill modifies requirements relating to federal agency data centers. Specifically, the General Services Administration (GSA) must establish minimum requirements for new data centers, including regarding <ul> <li>the availability and use of new data centers;</li> <li>the use of sustainable energy sources;</li> <li>uptime percentage;</li> <li>protections against power failures, including on-site energy generation and access to multiple transmission paths;</li> <li>protections against physical intrusions and natural disasters; and </li> <li>information security protections.</li> </ul> The GSA must issue guidance to ensure that covered agencies incorporate the minimum requirements into current data centers. During the development and planning of a new data center, an agency must report to the GSA and Congress upon determining it is likely to make a management or financial decision relating to such data center. In determining whether to establish a new data center or continue to operate an existing data center, an agency must (1) ensure that each at-risk legacy application is updated, replaced, or modernized; and (2) prioritize and leverage commercial cloud environments. The GSA must maintain a public-facing website that includes information related to agency compliance with data center requirements. An agency must oversee and manage the data center portfolio and the information technology strategy of the agency in accordance with federal cybersecurity guidelines and directives. The Government Accountability Office must review, verify, and audit compliance with the minimum requirements for new and existing data centers.",New regulations for those who collect your data
Prioritizing Medical Countermeasures for National Security Act of 2023," Prioritizing Medical Countermeasures for National Security Act of 2023 This bill requires the Administration for Strategic Preparedness and Response (ASPR) to establish a list of categories of drugs that may be necessary to address a public health emergency or threat to the Armed Forces in order to facilitate the development of such drugs. Specifically, ASPR must list categories and classes of drugs that may be necessary to prevent or treat diseases or conditions that are caused by chemical, biological, radiological, or nuclear agents and that have the potential to cause a public health emergency that threatens national security, or that may pose a threat to the Armed Forces. ASPR must share the list with interested parties to incentivize development and speed review of relevant drug applications.  The Government Accountability Office must report on the bill's effectiveness in encouraging the development of necessary medical countermeasures. ",Which drugs are a public health threat?
ADAPT 2.0 Act," Accelerated Drug Approval for Prescription Therapies 2.0 Act or the ADAPT 2.0 Act This bill allows applicants seeking Food and Drug Administration (FDA) approval to market a new drug to rely on investigations conducted in certain other countries and addresses related issues. If an applicant seeks market approval for a new drug with an application that relies on at least one investigation that the applicant did not conduct and did not obtain approval to use, the applicant may rely on an investigation that was conducted in certain foreign countries if the drug in question has already been approved in that country. The investigation must have been conducted in Australia, Canada, Israel, Japan, New Zealand, Switzerland, South Africa, the United Kingdom, the European Union, a country in the European Economic Area, or another country that the FDA has found to meet certain requirements.  The FDA must make a decision on such an application within 90 days of the application's filing. If the FDA does not take certain actions within that period, the application shall be considered approved. The FDA may require the applicant to conduct postapproval studies of the drug and to submit copies of all promotional materials.  The bill also establishes an advisory committee to provide the FDA with recommendations as to each application that relies on a foreign investigation. The FDA must make available on its public website each decision on such an application, including the rationale for the decision and the advisory committee's recommendations.",Drug approvals from other countries valid in the US?
"To provide for a limitation on availability of funds for Department of State, International Commissions, International Fisheries Commissions for fiscal year 2024.", This bill limits FY2024 funding for the Department of State's International Fisheries Commissions account.,Less funding for DOS' international fisheries?
